Año;Localidad;Descripción;Categoría;Fuente;Pag;
1948;Serodino;"Fundación de la Cooperativa Agrícola Ganadera. Hito en la comercialización conjunta de la producción local.
Cita: ""La Cooperativa Agrícola Ganadera de Serodino Limitada, es fundada el 16 de octubre de 1948, aunando sus esfuerzos y economía, en busca de la nunca encontrada reivindicación agropecuaria..."".";Huellas del trabajo;Serodino. Un pueblo santafesino;158-169;
1964;Serodino;"Solicitud de sede para el Sindicato de Obreros Rurales. Reconocimiento de la organización sindical de estibadores y trabajadores del campo.
Cita: ""...el 3/12/1964 se entrega en préstamo y de acuerdo a lo establecido en expediente M. 150.519, al Sindicato de Obreros Rurales y Estibadores, un lote de terreno expropiado, por el término de 15 años... para la construcción de su local"".";Huellas del trabajo;Serodino. Un pueblo santafesino;84-85;
1895;Serodino;"Expansión comercial y de servicios agrícolas. Fundación de la firma Bonifatti Hnos.
Cita: ""Firma fundada en 1895 por don José Bonifatti... casa cerealista, con máquina trilladora, etc. y camiones para el traslado de cereales"".";Huellas del trabajo;Serodino. Un pueblo santafesino;48-49;
1943;Serodino;"Primera partida de aceite industrial. Comienzo de la actividad en Serodino Industrial S.A., empleando a decenas de trabajadores.
Cita: ""...el establecimiento, en noviembre de 1943 produjo su primera partida de aceite. El 1er. ejercicio dió utilidad... Habría dado trabajo a hasta 45 personas y estimulado las actividades colaterales que este tipo de implantación promueve..."".";Huellas del trabajo;Serodino. Un pueblo santafesino;58-59;
1949-1951;Serodino;"Desarrollo y auge de Inquiarse S.A. Empresa dedicada a la producción de alcohol, butanol y acetona a partir de la semilla de mijo.
Cita: ""...iniciativa constituyéndose para ello una sociedad formada en 1949 que integraron los señores... La fábrica se inició produciendo unas 20 tt. mensuales de los subproductos indicados, consumiendo unas 250 tt. de sorgo, maíz y mijo"".";Huellas del trabajo;Serodino. Un pueblo santafesino;58-59;
1970;Serodino;"Cierre de fuentes de trabajo. El eclipse de industrias como Inquiarse (1968) y Estexa S.A. impactó negativamente en la estabilidad laboral del pueblo.
Cita: ""Las plantas petroquímicas que se instalaron en el país pueden producir esos sub-productos a mucho menor costo... Los repetidos quebrantos determinaron su cierre definitivo en 1968. Otra esperanza fallida para el pueblo..."".";Huellas del trabajo;Serodino. Un pueblo santafesino;60-61;
1913;Lucio V. López;"Existencia de Jefatura de Correos y Telégrafos
Hito: Para este año, la localidad ya contaba con personal designado para los servicios de comunicación y transporte ferroviario.
Cita textual: ""En 1913, mucho antes de crearse la Comisión de Fomento las características demográficas, sociales y económicas de Lucio V. López, eran las siguientes: población: 300 habitantes; Jefe de la Estación Ferrocarrilera, J. Fortuno; Jefe de Correos y Telégrafos: Fabián Valadie""";Huellas del transporte y las comunicaciones;Reseña histórica de Lucio. V. López;7;
1930;Lucio V. López;"Estafeta Postal Rentada
Hito: Se describe la dependencia administrativa del servicio postal de la zona respecto a la ciudad de Rosario.
Cita textual: ""Cabe consignar que los servicios postales los prestaba una estafeta rentada, dependiente del Distrito 15º Postal Rosario""";Huellas del transporte y las comunicaciones;Reseña histórica de Lucio. V. López;15;
1932;Lucio V. López;"Identificación de la encargada del Correo
Hito: Se menciona el nombre de la persona a cargo de la estafeta de correos durante la integración de las fuerzas vivas y autoridades del pueblo en ese año.
Cita textual: ""En 1932 la Comisión de Fomento estaba integrada por Miguel Sullivan, interventor, y José Medina, secretario... la estafeta de correos se llamaba Juana Lilia Tomás Almirón""";Huellas de la infraestructura y las  instituciones;Reseña histórica de Lucio. V. López;15;
1895;Lucio V. López;"Instalación del Molino Harinero Hidráulico
Hito: Se instala el primer establecimiento industrial que aprovechaba la fuerza del río. Fue uno de los dos únicos molinos hidráulicos de la provincia en su época.";Huellas de la energía;Reseña histórica de Lucio. V. López;7;
1985-1900;Lucio V. López;"Contexto General (fines del XIX): Molinos a vapor y tecnología de cilindros
Hito: En la provincia coexistían molinos a vapor con los hidráulicos; el de Lucio V. López incorporó tecnología avanzada de cilindros.
Cita textual: ""...en la provincia funcionaban 72 molinos a vapor... Había entonces dos molinos hidráulicos. Uno de ellos era justamente el instalado por José Rossié sobre el Carcarañá, habiendo construído a tales efectos los pilares sobre el cual giraba la correspondiente turbina que luego producía energía eléctrica... utilizó en su establecimiento molinero el sistema de cilindros";Huellas de la energía;Reseña histórica de Lucio. V. López;21;
1913;Lucio V. López;"Funcionamiento de la empresa de Luz Eléctrica
Hito: Ya existía una sociedad comercial dedicada al suministro eléctrico en el pueblo.
Cita textual: ""En el año 1913 ya venía funcionando la empresa: Luz Eléctrica en el kilómetro 381, perteneciente a la Sociedad Rossié y Blotta""";Huellas de la energía;Reseña histórica de Lucio. V. López;7;
1927;Lucio V. López;"Proyecto de Usina Hidroeléctrica y tendido de red
Hito: Propuesta formal para dar luz al pueblo usando la fuerza del río e inicio de la colocación de postes.
Cita textual: ""El 11 de octubre de 1927 el vecino Pedro Rossié, se dirige a la Comisión de Fomento... para exponer sobre sus intenciones de proporcionar luz eléctrica al pueblo... mediante la utilización de los elementos instalados en la usina hidroeléctrica sobre el Río Carcarañá... a partir del 3 de noviembre de 1927 comenzó la instalación de cables y postes""";Huellas de la energía;Reseña histórica de Lucio. V. López;4;
1929;Lucio V. López;"Compra de maquinaria vial
Hito: Adquisición de la primera máquina para el mantenimiento de caminos.
Cita textual: ""...compraron la primera máquina Champion para el arreglo de caminos... el 14 de marzo de 1929""";Huellas de la energía;Reseña histórica de Lucio. V. López;19;
1929;Lucio V. López;"Transferencia del servicio eléctrico
Hito: La explotación del servicio pasa de manos privadas locales a una empresa de capitales extranjeros.
Cita textual: ""A partir de mil novecientos veintinueve, Pedro Rossié dejó de prestar el servicio de energía eléctrica... El contrato fue transferido en ese mismo año a la Empresa Sudamericana de Servicios Públicos""";Huellas de la energía;Reseña histórica de Lucio. V. López;4;
1962;Lucio V. López;"Destrucción de la infraestructura hidroeléctrica. Hito: Una gran creciente destruye las instalaciones que generaban energía en el río.
Cita textual: ""...en 1962 se produjo una gran creciente de las aguas del Carcaraña... las instalaciones fueron destruidas... quedando solo algunos pilares que sirvieron de sostén a los elementos hidroeléctricos mediante los cuales durante muchos años produjeron fluido eléctrico""";Huellas de la energía;Reseña histórica de Lucio. V. López;9;
1891;Lucio V. López;"Donación de terrenos para escuelas
Hito: Al aprobarse la traza del pueblo Froilán Palacios (origen de la actual localidad), los propietarios realizaron la donación de tierras destinadas a edificios públicos, incluyendo establecimientos educativos.
Cita textual: ""...los propietarios del pueblo hicieron las donaciones correspondientes de terrenos para, escuelas, lazareto, cementerio, comuna, juzgado de paz y otros establecimientos públicos""";Huellas de la infraestructura y las  instituciones;Reseña histórica de Lucio. V. López;1;
1913;Lucio V. López;"Funcionamiento de la Escuela Fiscal
Hito: Para este año, el pueblo ya contaba con una estructura educativa formal y personal directivo asignado.
Cita textual: ""En 1913... las características demográficas, sociales y económicas de Lucio V. López, eran las siguientes... ESCUELA FISCAL: DIRECTOR, LEONIDAS SASSI""";Huellas de la infraestructura y las  instituciones;Reseña histórica de Lucio. V. López;7;
1932;Lucio V. López;"Consolidación de instituciones educativas y sociales. Cita textual sobre escuelas: ""ESCUELAS: ESCUELA FISCAL NRO. 20, CUYA DIRECCIÓN ESTABA A CARGO DE ISAAC ZENNYKOYCHTZ. ESCUELA NACIONAL NRO. 204, BAJO LA DIRECCIÓN DE PALMIRA B. SORIA. ESCUELA NACIONAL NRO. 309, DIRIGIDA POR MARGARITA BARRUQUET. ESCUELA NACIONAL NRO. 310, ESTANDO LA DIRECCIÓN A CARGO DE ANA ANGELICA AGUERO""
Hito: Se registra el funcionamiento de cuatro escuelas (una fiscal y tres nacionales) y dos clubes deportivos que conformaban el mapa social y de infraestructura del pueblo.
Cita textual sobre clubes: ""CLUBES Y SOCIEDADES: CLUB ATLETICO 'CAMPO BRIGNOLI' Y CLUB ATLETICO 43, CUYA PRESIDENCIA EJERCIA E. ALOTTI""
";Huellas de la infraestructura y las  instituciones;Reseña histórica de Lucio. V. López;15-16;
1913;Lucio V. López;"Diversificación de oficios y actividades comerciales
Hito: Registro detallado de la fuerza laboral y comercial del pueblo antes de la creación de la Comisión de Fomento.
Cita textual: ""En 1913... las características demográficas, sociales y económicas de Lucio V. López, eran las siguientes... Herrerías: Joaquín Sarramona... Corrales de fierro y maderas: Blotta Hnos... Acopiadores de frutos del país: Blotta Hnos... Molinos harineros: Rossié y Blotta"".";Huellas del trabajo;Reseña histórica de Lucio. V. López;7;
1929-1930;Lucio V. López;"Conflicto por servicios públicos de capital extranjero
Hito: Transferencia del servicio eléctrico a una empresa extranjera, lo que derivó en tensiones económicas por las tarifas aplicadas a los usuarios locales.
Cita textual: ""...a partir de entonces y hasta que los servicios de electricidad fueron por exclusiva cuenta del Gobierno Argentino, el negocio del fluido eléctrico en Lucio V. López, estuvo a cargo de la citada empresa de capitales no nacionales la que, en muchas ocasiones, aplicó conceptos leoninos en contra de los intereses de los usuarios"".";Huellas de la energía;Reseña histórica de Lucio. V. López;9;
1932;Lucio V. López;"Mapa productivo e industrial detallado
Hito: Censo de la actividad económica que muestra una fuerte especialización en lechería, fabricación de quesos e incluso pólvora.
Cita textual: ""El espectro comercial, industrial y agrícola ganadero estaba integrado de la siguiente manera: ...Cinco fábricas de queso propiedad de: Valano Campo, Cesari Hnos., Loinaz Hnos., José M. Spinaz y Barella Adhetti Hnos... Funcionaban en Lucio V. López, dos fábricas de máquinas de pólvora y de fuegos de artificio... Funcionaban las siguientes lecherías: Miguel Aruti, Deodato y Loinaz..."".";Huellas del trabajo;Reseña histórica de Lucio. V. López;16;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
